ID,Timestamp,Overall_Status,Successful_Terminals,Total_Terminals,Terminal_1,Terminal_2,Terminal_3
2,2025-08-21T00:32:44.611973+05:30,NG,0,3,NG,NG,NG
3,2025-08-21T00:34:44.052677+05:30,NG,0,3,NG,NG,NG
